Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_HV_1KV-to-3KV_11.pdf","-","13-CC1812JKX7RDBB102TR-ND,13-CC1812JKX7RDBB102CT-ND,13-CC1812JKX7RDBB102DKR-ND","CC1812JKX7RDBB102","Yageo","Yageo","MLCC CAP","4,858","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","1000pF","±5%","2000V (2kV)","X7R","-55°C ~ 125°C","High Voltage","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"""" L x 0.126"""" W (4.50mm x 3.20mm)","-","0.059"""" (1.50mm)","-","-"
"http://www.holystonecaps.com/PDF/201701300917450.2017SCCSeries.pdf","//media.digikey.com/photos/Holy-Stone/MFG_SCC_Series.jpg","2873-SCC1812X102K502TGTR-ND","SCC1812X102K502TG","Holy Stone Enterprise Co., Ltd.","Holy Stone Enterprise Co., Ltd.","CAP CER 1000PF 250VAC X7R 1812","2,000","0.2992","0","1000","Tape & Reel (TR)","SCC","Active","1000pF","±10%","250VAC","X7R","-55°C ~ 125°C","-","X2","Safety","-","Surface Mount, MLCC","1812 (4532 Metric)","0.181"""" L x 0.126"""" W (4.60mm x 3.20mm)","-","0.057"""" (1.45mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_21.pdf","//media.digikey.com/photos/Yageo%20Photos/311-1812%20MLCC.jpg","311-4571-2-ND,311-4571-1-ND,311-4571-6-ND","CC1812KKX7RYBB334","Yageo","Yageo","CAP CER 0.33UF 250V X7R 1812","1,595","0.85","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","0.33µF","±10%","250V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"""" L x 0.126"""" W (4.50mm x 3.20mm)","-","0.071"""" (1.80mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_HV_1KV-to-3KV_11.pdf","//media.digikey.com/photos/Yageo%20Photos/311-1812%20MLCC.jpg","311-3406-2-ND,311-3406-1-ND,311-3406-6-ND","CC1812KKX7RCBB103","Yageo","Yageo","CAP CER 10000PF 1KV X7R 1812","2,691","0.83","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","10000pF","±10%","1000V (1kV)","X7R","-55°C ~ 125°C","High Voltage","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"""" L x 0.126"""" W (4.50mm x 3.20mm)","-","0.057"""" (1.45mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_HV_1KV-to-3KV_11.pdf","//media.digikey.com/photos/Yageo%20Photos/311-1812%20MLCC.jpg","311-3408-2-ND,311-3408-1-ND,311-3408-6-ND","CC1812KKX7RDBB222","Yageo","Yageo","CAP CER 2200PF 2KV X7R 1812","1,268","1.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","2200pF","±10%","2000V (2kV)","X7R","-55°C ~ 125°C","High Voltage","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"""" L x 0.126"""" W (4.50mm x 3.20mm)","-","0.059"""" (1.50mm)","-","-"
"https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","//media.digikey.com/photos/Yageo%20Photos/311-1812%20MLCC.jpg","311-3574-2-ND,311-3574-1-ND,311-3574-6-ND","CC1812KKX7R9BB334","Yageo","Yageo","CAP CER 0.33UF 50V X7R 1812","1,464","0.65","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","0.33µF","±10%","50V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"""" L x 0.126"""" W (4.50mm x 3.20mm)","-","0.049"""" (1.25mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_HV_1KV-to-3KV_11.pdf","//media.digikey.com/photos/Yageo%20Photos/311-1812%20MLCC.jpg","311-3590-2-ND,311-3590-1-ND,311-3590-6-ND","CC1812KKX7RDBB102","Yageo","Yageo","CAP CER 1000PF 2KV X7R 1812","1,736","1.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","1000pF","±10%","2000V (2kV)","X7R","-55°C ~ 125°C","High Voltage","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"""" L x 0.126"""" W (4.50mm x 3.20mm)","-","0.059"""" (1.50mm)","-","-"
"http://www.holystonecaps.com/PDF/201701300917450.2017SCCSeries.pdf","//media.digikey.com/photos/Holy-Stone/MFG_SCC_Series.jpg","2873-SCC1812X472K202TGTR-ND","SCC1812X472K202TG","Holy Stone Enterprise Co., Ltd.","Holy Stone Enterprise Co., Ltd.","CAP CER 4700PF 250VAC X7R 1812","3,000","0.3751","0","1000","Tape & Reel (TR)","SCC","Active","4700pF","±10%","250VAC","X7R","-55°C ~ 125°C","-","X1, Y2","Safety","-","Surface Mount, MLCC","1812 (4532 Metric)","0.181"""" L x 0.126"""" W (4.60mm x 3.20mm)","-","0.071"""" (1.80mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_MV_100-to-630V_21.pdf","//media.digikey.com/photos/Yageo%20Photos/311-1812%20MLCC.jpg","311-4555-2-ND,311-4555-1-ND,311-4555-6-ND","CC1812KKX7R0BB474","Yageo","Yageo","CAP CER 0.47UF 100V X7R 1812","2,318","1.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","0.47µF","±10%","100V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"""" L x 0.126"""" W (4.50mm x 3.20mm)","-","0.071"""" (1.80mm)","-","-"
"https://www.yageo.com/upload/media/product/products/datasheet/mlcc/UPY-NP0X7R_HV_1KV-to-3KV_11.pdf","//media.digikey.com/photos/Yageo%20Photos/311-1812%20MLCC.jpg","311-4564-2-ND,311-4564-1-ND,311-4564-6-ND","CC1812KKX7RDBB152","Yageo","Yageo","CAP CER 1500PF 2KV X7R 1812","3,732","1.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","1500pF","±10%","2000V (2kV)","X7R","-55°C ~ 125°C","High Voltage","-","General Purpose","-","Surface Mount, MLCC","1812 (4532 Metric)","0.177"""" L x 0.126"""" W (4.50mm x 3.20mm)","-","0.059"""" (1.50mm)","-","-"
